,Random_Forest,Gradient_Boosting,Logistic_Regression,SVC,LDA,XGB
accuracy,0.8156424581005587,0.7988826815642458,0.770949720670391,0.8044692737430168,0.776536312849162,0.7988826815642458
recall,0.6911764705882353,0.5,0.6617647058823529,0.6323529411764706,0.6764705882352942,0.6617647058823529
r2,0.21740858505564398,0.1462639109697934,0.027689454160042537,0.16997880233174356,0.05140434552199269,0.1462639109697934
precision,0.7966101694915254,0.9444444444444444,0.7142857142857143,0.8113207547169812,0.71875,0.7758620689655172
confusion,"[[99 12]
 [21 47]]","[[109   2]
 [ 34  34]]","[[93 18]
 [23 45]]","[[101  10]
 [ 25  43]]","[[93 18]
 [22 46]]","[[98 13]
 [23 45]]"
log,6.6449193398931055,7.249002916247025,8.25580887683689,7.047641724129053,8.054447684718916,7.249002916247025
matthews,0.6020309158393928,0.5836163899412786,0.5077399282626563,0.5765043538997534,0.5208356201419809,0.5648392258100199
